file	line	sentence	source_scope	source_sha256	paragraph_id	paragraph_thesis	sentence_role	link_to_previous	support_status	support_or_revision
paper/online_experiments.tex	22	An observed complete failed compilation supplies that cell's failed-attempt price.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D02	Separate observed, censored, and assumed failed-compilation prices.	Use observed complete failed-attempt prices.	Introduces the acquisition branch not priced by successful C in 17.	SUPPORTED	observed_failed_cost reads measured.C_with_repair or recorded C.
paper/online_experiments.tex	23	For cells without an observed failed attempt, DeepSeek uses its median complete-failure price and Qwen uses its one complete-failure price.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D02	Separate observed, censored, and assumed failed-compilation prices.	Fill unavailable failed prices.	Extends the observed-price rule in 22 to admitted cells.	SUPPORTED	DeepSeek uses the complete-failure median; Qwen has one complete failure, OsmAnd.
paper/online_experiments.tex	24	The partial Qwen Calc spend is used only for that cell and is excluded from other cells' failure-price estimates.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D02	Separate observed, censored, and assumed failed-compilation prices.	Keep censored Calc spend local.	Excludes the partial case from the complete-failure pool in 23.	SUPPORTED	C_partial removes Calc from fail_median while keeping its own observed Cf.
paper/online_experiments.tex	25	The initial GLM measurement profiles contain no complete failed compilation, so its base scenario assumes $C^{\mathrm{fail}}=C$.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D02	Separate observed, censored, and assumed failed-compilation prices.	State GLM's unidentified-price convention.	Completes the missing-price cases after DeepSeek/Qwen.	SUPPORTED	No initial complete GLM failure; base Cf equals own-cell C.
paper/online_experiments.tex	26	Two predeclared sensitivity settings replace this assumption with $C^{\mathrm{fail}}=0.5C$ and $5C$.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D02	Separate observed, censored, and assumed failed-compilation prices.	Vary the GLM price convention.	Checks the assumption introduced in 25.	SUPPORTED	cf_multiplier .5/5 on soft-bursty and soft-BPI2019 gives four cells.
paper/online_experiments.tex	27	These substitutions are scenario assumptions, not additional measurements.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D02	Separate observed, censored, and assumed failed-compilation prices.	State that substituted prices are assumptions.	Bounds the evidential meaning of 23-26.	SUPPORTED	No new compilation measurements are implied.
paper/online_experiments.tex	29	We use three verification scenarios because the measurements do not identify independent retry probabilities.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D03	Define admission scenarios without treating observations as independent retry estimates.	Motivate supplied admission scenarios.	Moves from price uncertainty to unknown independent retry probabilities.	SUPPORTED	Limited mixed-condition repetitions do not identify stationary independent p.
paper/online_experiments.tex	30	The outcome-replay scenario assigns $p=1$ to initially verified cells and $p=0$ to cells without a program.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D03	Define admission scenarios without treating observations as independent retry estimates.	Define binary outcome-replay p.	Gives the first response to the identifiability issue in 29.	SUPPORTED	MODES binary_replay=(1,0) by observed admission.
paper/online_experiments.tex	31	For Qwen Calc, this assignment represents its observed lack of a usable program, not a completed verification rejection.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D03	Define admission scenarios without treating observations as independent retry estimates.	Interpret interrupted Qwen Calc correctly.	Limits the meaning of Calc's p=0 assignment in 30.	SUPPORTED	No usable artifact was observed, but the gate workflow did not finish.
paper/online_experiments.tex	32	The probabilistic scenario assigns $p=0.8$ and $p=0.2$ to the two groups.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D03	Define admission scenarios without treating observations as independent retry estimates.	Define probabilistic p by observed category.	Adds nondegenerate admissions to the grouping in 30.	SUPPORTED	MODES soft=(.8,.2).
paper/online_experiments.tex	33	The uniform scenario assigns $p=0.5$ to every family.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D03	Define admission scenarios without treating observations as independent retry estimates.	Define uniform p for all families.	Removes category differences from the preceding scenarios.	SUPPORTED	MODES uniform=(.5,.5).
paper/online_experiments.tex	34	The simulator samples attempt outcomes from these supplied probabilities, while the policies only observe their own past outcomes.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D03	Define admission scenarios without treating observations as independent retry estimates.	Separate true sampled p from policy observations.	Explains how 30-33 drive outcomes without giving p to the decision.	SUPPORTED	Admission uses cfg.p; decision uses (admits+1)/(attempts+2).
paper/online_experiments.tex	36	The synthetic arrivals are uniform, Zipf, and bursty streams of $300$ requests.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D04	Specify arrival streams, profile assignments, and the Wikipedia window.	Define three synthetic streams and length.	Starts the arrival axis after defining admission scenarios.	SUPPORTED	Synthetic uniform-label, Zipf and bursty jobs all have n=300.
paper/online_experiments.tex	37	The uniform stream samples family labels independently and does not model wall-clock Poisson arrival times.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D04	Specify arrival streams, profile assignments, and the Wikipedia window.	Clarify uniform labels without clock time.	Explains the first synthetic pattern in 36 accurately.	SUPPORTED	streams.py uses independent rng.choice calls; inherited key poisson is not a time process.
paper/online_experiments.tex	38	The real-log arrivals come from Sepsis \citep{mannhardt2016sepsis}, BPI 2019 \citep{vandongen2019bpi}, and two Wikipedia-edit streams.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D04	Specify arrival streams, profile assignments, and the Wikipedia window.	Identify four real-log streams.	Adds observed arrival ordering to the synthetic patterns.	SUPPORTED	sepsis,bpi2019,wiki_A,wiki_B are the four frozen real streams.
paper/online_experiments.tex	39	They supply family recurrence and ordering, not GUI task executions.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D04	Specify arrival streams, profile assignments, and the Wikipedia window.	Limit logs to recurrence and ordering.	Defines the role of the data sources in 38.	SUPPORTED	GUI costs are assigned separately to log-family IDs.
paper/online_experiments.tex	40	For each repetition, we shuffle the measured cost profiles before assigning them to log families.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D04	Specify arrival streams, profile assignments, and the Wikipedia window.	Shuffle profile assignments by repetition.	Adds mapping variation to the fixed real ordering in 39.	SUPPORTED	prepare_rep shuffles names with seed+rep, then cycles them over sorted family IDs.
paper/online_experiments.tex	41	All policies in that repetition receive the same assignment.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D04	Specify arrival streams, profile assignments, and the Wikipedia window.	Pair the mapping across policies.	Keeps the variation in 40 from confounding policy comparison.	SUPPORTED	Each repetition calls prepare_rep once before the eight policy runs.
paper/online_experiments.tex	42	The Wikipedia human-edit stream uses the fixed first-$100{,}000$-arrival window.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D04	Specify arrival streams, profile assignments, and the Wikipedia window.	Define the human-edit prefix window.	States the finite sample used for one stream in 38.	SUPPORTED	wiki_B window=100000; loader sorts by timestamp before slicing; dataset defines no-tool/no-bot selection.
paper/online_experiments.tex	44	The base settings use a per-use drift probability of $0.02$, an idle-residency limit of $100$ stream arrivals, and router cost $368+91L_t$ weighted tokens.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D05	Specify the frozen base and sensitivity settings.	Set base drift, residency and router costs.	Fixes deployment assumptions for the arrival/admission grid.	SUPPORTED	h=.02,ttl=100,tau0=368,m=91; router charge tau0+m*library.
paper/online_experiments.tex	45	The study has $63$ base cells: three models, three verification scenarios, and seven arrival streams.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D05	Specify the frozen base and sensitivity settings.	Count the full base grid.	Combines model, verification and arrival axes under 44.	SUPPORTED	3*3*7=63 jobs.
paper/online_experiments.tex	46	Another $42$ cells change one setting at a time on the bursty and BPI 2019 streams under probabilistic verification.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D05	Specify the frozen base and sensitivity settings.	Define one-setting sensitivity placement.	Adds controlled departures from the base grid in 45.	SUPPORTED	3 models*7 settings*2 streams=42 soft-mode bursty/BPI2019 jobs.
paper/online_experiments.tex	47	They test residency limits of $25$ and $400$, zero routing cost, drift probabilities of $0$ and $0.1$, a silent-failure fraction of $0.3$, and a fivefold increase in both compilation prices.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D05	Specify the frozen base and sensitivity settings.	List sensitivity values.	Makes the one-at-a-time changes in 46 concrete.	SUPPORTED	TTL25/400; both router terms zero; h0/.1; silent.3; scale5 on both C and Cf.
paper/online_experiments.tex	48	The four additional GLM failure-price cells bring the total to $109$.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D05	Specify the frozen base and sensitivity settings.	Add GLM price sensitivities and total jobs.	Includes the four cases from 26 after 63+42.	SUPPORTED	109=63+42+4, confirmed from frozen jobs.
paper/online_experiments.tex	49	We fix these settings before running the study.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D05	Specify the frozen base and sensitivity settings.	State pre-execution freezing.	Explains how the settings in 44-48 were selected.	SUPPORTED	config/source snapshot stores all109 jobs; source hashes match current code.
paper/online_experiments.tex	52	Agent-only service never compiles, while earliest compilation attempts to compile at each eligible opportunity.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D06	Define all eight policies, their counters, and the shared failed-spend check.	Define agent-only and earliest baselines.	Begins comparator enumeration under shared timing.	SUPPORTED	reactive never compiles; earliest acts when not alive and demos>=3.
paper/online_experiments.tex	53	The arrival-count rule waits for ten arrivals over the family's full observed history.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D06	Define all eight policies, their counters, and the shared failed-spend check.	Define the lifetime arrival threshold.	Adds a count-based timing rule after earliest in 52.	SUPPORTED	fixed10 tests f.arrivals>=10; f.arrivals never resets.
paper/online_experiments.tex	54	The success-count rule waits for ten successful agent runs since the last admission or detected break.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D06	Define all eight policies, their counters, and the shared failed-spend check.	Define the success threshold and reset.	Distinguishes the second counter from the lifetime count in 53.	SUPPORTED	success10 resets at admission/detected drift break; successful fallbacks also increment it.
paper/online_experiments.tex	55	An accumulated-excess rule waits until positive expected savings forgone through agent-only service cover the estimated acquisition cost.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D06	Define all eight policies, their counters, and the shared failed-spend check.	Define accumulated expected excess.	Adds a cost-sensitive comparator after count thresholds.	SUPPORTED	breakeven_cap checks saving>0 and f.excess>=expected_buy(C,Cf,p_est).
paper/online_experiments.tex	56	This accumulator excludes fallback runs and resets after admission or a detected break.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D06	Define all eight policies, their counters, and the shared failed-spend check.	Specify accumulator exclusion and reset.	Makes the excess in 55 operationally precise.	SUPPORTED	Increments only when not program; excludes fallback; resets on admission/detected drift break.
paper/online_experiments.tex	57	The projected-savings rule uses Equation~\ref{eq:trigger}.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D06	Define all eight policies, their counters, and the shared failed-spend check.	Introduce projected savings by equation reference.	Adds the proposed forecast-based trigger to prior comparators.	SUPPORTED	Engine compares uses*saving with buy+m*min(ttl,age); equation label is checked at manuscript integration.
paper/online_experiments.tex	58	We evaluate earliest compilation and the projected rule both with and without Equation~\ref{eq:failed-spend}.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D06	Define all eight policies, their counters, and the shared failed-spend check.	Define check/no-check pairs.	Specifies two interventions on earliest and projected rules.	SUPPORTED	earliest/earliest_cap and projected/projected_cap both exist.
paper/online_experiments.tex	59	The two count rules and the accumulated-excess rule use the same failed-spend check.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D06	Define all eight policies, their counters, and the shared failed-spend check.	Apply the shared check to the other rules.	Completes the cap assignment begun in 58.	SUPPORTED	Both count rules and breakeven_cap require failed_spend+Cf<=allowance.
paper/online_experiments.tex	60	This gives eight policies, including the full projected rule with the check.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D06	Define all eight policies, their counters, and the shared failed-spend check.	Count all policies and identify the full rule.	Closes the enumeration in 52-59.	SUPPORTED	1 reactive+2 earliest+2 count+1 accumulated+2 projected=8.
paper/online_experiments.tex	63	Each cell has twenty repetitions.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D07	Specify paired outcome randomness, repetition variation, and interval scope.	Set repetition count.	Begins the paired sampling description after fixing policies.	SUPPORTED	All frozen jobs use reps=20.
paper/online_experiments.tex	64	We key compilation outcomes by repetition, family, and attempt index, and serving outcomes by repetition, family, arrival index, and failure channel.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D07	Specify paired outcome randomness, repetition variation, and interval scope.	Define indexed outcomes.	Makes the pairing design in 63 explicit.	SUPPORTED	coin keys include repetition seed,family,attempt or arrival index,and channel.
paper/online_experiments.tex	65	Thus, policies share the same underlying outcome sequence when the corresponding event occurs.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D07	Specify paired outcome randomness, repetition variation, and interval scope.	State the corresponding-outcome consequence.	Explains what the keying in 64 achieves.	SUPPORTED	Policies share indexed potential outcomes when the event occurs; action sequences may differ.
paper/online_experiments.tex	66	The repetitions also vary synthetic arrivals or the mapping of cost profiles onto a real stream.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D07	Specify paired outcome randomness, repetition variation, and interval scope.	Define other repetition variation.	Adds stream/mapping variability to outcome variability in 64.	SUPPORTED	Synthetic seed*1000+rep; real mapping seed+rep over a fixed log window.
paper/online_experiments.tex	67	The intervals do not include uncertainty in the original measured costs.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D07	Specify paired outcome randomness, repetition variation, and interval scope.	Exclude measurement uncertainty from intervals.	Limits the sampled variation described in 63-66.	SUPPORTED	Profiles remain fixed through repetitions/bootstrap resamples.
paper/online_experiments.tex	69	We normalize each policy's mean token cost by the mean agent-only cost in the same cell.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D08	Define normalized costs, retrospective comparators, and bootstrap aggregation.	Define the normalized mean-cost ratio.	Introduces the metric for the paired samples.	SUPPORTED	Ratio of mean token costs, not mean of repetition ratios.
paper/online_experiments.tex	70	The $95$ percent intervals use a paired percentile bootstrap with $2000$ resamples of repetition indices.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D08	Define normalized costs, retrospective comparators, and bootstrap aggregation.	Define the paired interval method.	Adds uncertainty reporting to the ratio in 69.	SUPPORTED	95 percent percentile bootstrap,2000 repetition-index draws,.025/.975 endpoints.
paper/online_experiments.tex	71	An aggregate gives equal weight to each cell's normalized ratio.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D08	Define normalized costs, retrospective comparators, and bootstrap aggregation.	Define equal cell weighting.	Extends the per-cell metric in 69 to aggregates.	SUPPORTED	aggregate takes the arithmetic mean of normalized cell ratios.
paper/online_experiments.tex	72	We do not pool absolute weighted-token totals across models.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D08	Define normalized costs, retrospective comparators, and bootstrap aggregation.	Prohibit absolute cost pooling across models.	Explains the normalization used in 71.	SUPPORTED	Ratios are dimensionless; weighted-token prices are model-specific.
paper/online_experiments.tex	73	The better fixed rule is the cheaper of agent-only service and earliest compilation in that cell.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D08	Define normalized costs, retrospective comparators, and bootstrap aggregation.	Define the better fixed baseline.	Adds a descriptive benchmark beyond agent-only normalization.	SUPPORTED	Minimum mean pure token cost of reactive and earliest.
paper/online_experiments.tex	74	The best listed alternative is the cheapest of the other seven policies by mean cost.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D08	Define normalized costs, retrospective comparators, and bootstrap aggregation.	Define the best seven-policy alternative.	Broadens the descriptive benchmark in 73.	OPTIONAL_CLARIFY	Code compares projected_cap with the other seven; optionally name that reference policy here.
paper/online_experiments.tex	75	These retrospective comparisons are descriptive benchmarks, not executable policies with future knowledge.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D08	Define normalized costs, retrospective comparators, and bootstrap aggregation.	Limit retrospective minima to descriptive comparison.	Prevents 73-74 from implying executable future knowledge.	SUPPORTED	Selection occurs after observing cell means and is not an offline optimal schedule.
paper/online_experiments.tex	76	Each bootstrap resample selects the best comparator again, and aggregate intervals share the resampled repetition indices across cells.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D08	Define normalized costs, retrospective comparators, and bootstrap aggregation.	Define reselection and shared aggregate resamples.	Connects comparator selection to 70 and equal-cell aggregation to 71.	SUPPORTED	Best-comparator bootstrap reselects the minimum; aggregate shares each index draw across cells.
paper/online_experiments.tex	78	The silent-failure sensitivity reports simulated token cost, task success, and an auxiliary penalty separately.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D09	Separate silent-failure penalties and explain success ordering under detected fallback.	Separate silent-sensitivity outputs.	Introduces the additional quantity needed when some failures skip fallback.	SUPPORTED	The text now explicitly calls these simulated token costs. account_result keeps token_cost, auxiliary_penalty and success separate.
paper/online_experiments.tex	79	The penalty is three mean agent-run costs per silent failure and is not a token bill.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D09	Separate silent-failure penalties and explain success ordering under detected fallback.	Define the non-token penalty.	Specifies the auxiliary quantity named in 78.	SUPPORTED	harm_tokens increments3*c; COMPONENTS excludes it from token_cost.
paper/online_experiments.tex	80	In that sensitivity, the controller's forecast includes the assumed silent-failure penalty.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D09	Separate silent-failure penalties and explain success ordering under detected fallback.	Put the assumed penalty in the forecast.	Explains that the sensitivity affects policy decisions as well as reporting.	SUPPORTED	saving includes fail_rate*c*(silent*penalty+(1-silent)*fallback_mult).
paper/online_experiments.tex	81	The main cost comparisons use detected failures and no such penalty.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D09	Separate silent-failure penalties and explain success ordering under detected fallback.	Limit base comparisons to detected failures.	Separates main-study conditions from 78-80.	SUPPORTED	silent=0 means no incurred penalty in the base cells.
paper/online_experiments.tex	82	In the detected-failure model, a failed program use falls back to the same agent outcome used by the agent-only comparator on that arrival.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D09	Separate silent-failure penalties and explain success ordering under detected fallback.	Define coupled fallback success.	Explains task-success behavior under the main condition in 81.	SUPPORTED	Agent-only and fallback use the same reactive coin at that family arrival.
paper/online_experiments.tex	83	Nondecreasing task success relative to that comparator is therefore a property of the model, rather than an independent reliability finding.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D09	Separate silent-failure penalties and explain success ordering under detected fallback.	Derive model-based nondecreasing success.	States what follows from 82 without presenting new reliability evidence.	SUPPORTED	With silent=0, program success is1 or equals the paired reactive outcome, pointwise.
paper/body.tex	227	\caption{Serving costs and estimated savings for the initial programs.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:share	Define initial serving metrics, cost units, failure accounting, and missing data.	Identify initial serving-cost objects.	Opens the caption with the quantities and artifacts shown.	SUPPORTED	The table reports c,c_prog,q and saving share.
paper/body.tex	228	All costs are weighted tokens, with k denoting $10^3$.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:share	Define initial serving metrics, cost units, failure accounting, and missing data.	Define unit and k multiplier.	Makes the numeric costs introduced in227 interpretable.	SUPPORTED	k=10^3 within-model weighted tokens.
paper/body.tex	229	$c$ averages agent exploration runs after harness-baseline subtraction.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:share	Define initial serving metrics, cost units, failure accounting, and missing data.	Define agent mean c and floor subtraction.	Identifies the agent term on the scale in228.	SUPPORTED	Reader averages all recorded exploration episodes and subtracts one floor per episode.
paper/body.tex	230	$c^{\mathrm{prog}}$ and $q$ summarize thirty deployment uses, and the saving share charges one mean-cost agent fallback for a failed use.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:share	Define initial serving metrics, cost units, failure accounting, and missing data.	Define deployment values and fallback share.	Completes the program side after the agent definition in229.	SUPPORTED	Thirty bindings supply d/q; c-d-qc charges one mean-cost fallback.
paper/body.tex	231	A dash denotes an unavailable program-path value.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:share	Define initial serving metrics, cost units, failure accounting, and missing data.	Explain unavailable program entries.	Clarifies missing values in the quantities defined in230.	SUPPORTED	A dash means unavailable, not zero cost or zero failure.
paper/body.tex	232	The Qwen web cell has no data because the provider refused the request.}	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:share	Define initial serving metrics, cost units, failure accounting, and missing data.	Explain entirely absent Qwen web data.	Distinguishes a missing profile from a missing program-path value in231.	SUPPORTED	The refusal preceded a measurement row.
paper/body.tex	289	\caption{Agent replays and original program runs on matched task bindings.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:paired-replays	Define matched-input metrics and differences in collection conditions.	Identify the matched-input comparison.	Opens the caption with the two sources of outcomes.	SUPPORTED	Agent replays use original deployment bindings and recorded program outcomes.
paper/body.tex	290	Each populated row contains thirty bindings.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:paired-replays	Define matched-input metrics and differences in collection conditions.	Define per-row sample size.	States how many bindings support each comparison in289.	SUPPORTED	Nine populated Android rows each contain30 bindings.
