file	lines	paragraph_main_point	sentence_role	connection_to_previous	connection_to_next	evidence	issue_or_action	sentence_or_math_unit
paper/online_protocol.tex	73	Replacement cost proposition	Prices terminal failure and renewal	Includes the fallback caused by the break and the next acquisition.	Adds noninvalidating fallback conditional on no drift.	Independent renewal-reward calculation in online-prose-review.md	One terminal fallback c and one B per cycle.	A break incurs one agent fallback of cost $c$ and requires replacement before the next arrival.
paper/online_protocol.tex	74	Replacement cost proposition	Separates ordinary failure	Adds noninvalidating fallback conditional on no drift.	Combines extraction, ordinary fallback, terminal fallback, and replacement.	Independent renewal-reward calculation in online-prose-review.md	Ordinary-failure contribution is (1-h)q*c per use.	Conditional on no break, an ordinary failure occurs with probability $q$ and incurs one fallback without invalidating the program.
paper/online_protocol.tex	75	Replacement cost proposition	States renewal average	Combines extraction, ordinary fallback, terminal fallback, and replacement.	Compares the preceding long-run average with c and rearranges.	Independent renewal-reward calculation in online-prose-review.md	Correct: [B+c+d/h+q*c*(1/h-1)]/(1/h).	For independent replacement cycles, the long-run cost per arrival is $c^{\mathrm{prog}}+(1-h)qc+h(B+c)$.
paper/online_protocol.tex	76-80	Replacement cost proposition	States exact saving condition	Compares the preceding long-run average with c and rearranges.	Clarifies H and that the breaking use is counted.	Independent renewal-reward calculation in online-prose-review.md	Correct H*((1-q)c-d)>B+(1-q)c.	Writing $H=1/h$, this policy costs less than agent-only service exactly when \begin{equation} H\big[(1-q)c-c^{\mathrm{prog}}\big]>B+(1-q)c. \label{eq:replacement} \end{equation}
paper/online_protocol.tex	83	Replacement interpretation and limits	Explains inclusive lifetime	Clarifies H and that the breaking use is counted.	Links inclusive cycle counting to replacement plus terminal fallback.	Geometric cycle mean 1/h including terminal use	Supported.	Each cycle contains $1/h$ uses on average, including the terminal use that breaks the program.
paper/online_protocol.tex	84	Replacement interpretation and limits	Explains terminal-cost correction	Links inclusive cycle counting to replacement plus terminal fallback.	States why a per-use hazard leaves calendar arrival rate outside the comparison.	Geometric cycle mean 1/h including terminal use	Supported.	The condition therefore accounts for both replacement and the fallback on that terminal use.
paper/online_protocol.tex	85	Replacement interpretation and limits	Explains time scale	States why a per-use hazard leaves calendar arrival rate outside the comparison.	Prevents interpreting a two-policy comparison as unrestricted optimal control.	Geometric cycle mean 1/h including terminal use	No per-time hazard or idle charges in this reference.	The arrival rate does not appear because the assumed hazard acts per use rather than per unit of time.
paper/online_protocol.tex	86	Replacement interpretation and limits	Limits comparator class	Prevents interpreting a two-policy comparison as unrestricted optimal control.	Separates this known-parameter result from the estimated protocol that follows.	Geometric cycle mean 1/h including terminal use	Supported.	This is a comparison between two specified policies under known parameters.
paper/online_protocol.tex	87	Replacement interpretation and limits	Limits unknown-parameter optimality	Separates this known-parameter result from the estimated protocol that follows.	Leaves reference analyses and introduces the implemented chronology.	Geometric cycle mean 1/h including terminal use	Supported.	It does not identify an optimal replacement policy when recurrence and verification are unknown.
paper/online_protocol.tex	92	Serve current arrival before compilation	States actual service order	Leaves reference analyses and introduces the implemented chronology.	States what completed observations count toward compilation.	revision_sim.py:91-179; run_paper_revision.py:157-159	Service is completed before lines144-179 decision and attempt.	The online protocol makes each compilation decision after serving the current arrival.
paper/online_protocol.tex	93	Serve current arrival before compilation	Defines eligibility evidence	States what completed observations count toward compilation.	Makes the direct consequence of compile-after-service explicit.	revision_sim.py:91-179; run_paper_revision.py:157-159	Includes failed reactive attempts and fallbacks; does not require three successes.	It logs any completed agent run, including a fallback, and becomes eligible to compile after three such runs.
paper/online_protocol.tex	94	Serve current arrival before compilation	States delayed availability	Makes the direct consequence of compile-after-service explicit.	Connects completed traces to paying for the deciding arrival.	revision_sim.py:91-179; run_paper_revision.py:157-159	New program cannot serve current arrival.	A newly verified program can first serve a later arrival.
paper/online_protocol.tex	95	Serve current arrival before compilation	Explains chronology's accounting effect	Connects completed traces to paying for the deciding arrival.	Shows that ordering still charges compilation when no useful future task follows.	revision_sim.py:91-179; run_paper_revision.py:157-159	Full means supplied floor-adjusted service cost; charges current service before compilation is more exact.	This order uses only completed traces and charges the full service cost of the task that made compilation possible.
paper/online_protocol.tex	96	Serve current arrival before compilation	States terminal-arrival implication	Shows that ordering still charges compilation when no useful future task follows.	Introduces arrival count and age after excluding future-horizon access.	revision_sim.py:91-179; run_paper_revision.py:157-159	No lookahead cancellation in engine.	If that task is the family's last arrival, the compilation cost is still charged.
paper/online_protocol.tex	98	Past-only recurrence forecast	Defines observed state	Introduces arrival count and age after excluding future-horizon access.	Converts only the observed count and age into forecast future uses.	revision_sim.py:74-75,135-139	age=t-first.	Let $n_f$ be the number of observed arrivals for family $f$, and let $t_f$ be its age in total stream arrivals since its first occurrence.
paper/online_protocol.tex	99-106	Past-only recurrence forecast	Defines smoothed recurrence and capped projection	Converts only the observed count and age into forecast future uses.	Interprets the constants in the displayed recurrence estimator.	revision_sim.py:74-75,135-139	Matches n/(age+5), times age, capped at1/h; h=0 disables cap.	The recurrence estimate is \begin{equation} \hat{\lambda}_f=\frac{n_f}{t_f+5}, \qquad \hat{H}_f=\min\!\left(\hat{\lambda}_f t_f,\frac{1}{h_f}\right), \label{eq:projection} \end{equation} with $1/0=\infty$.
paper/online_protocol.tex	107	Past-only recurrence forecast	Explains initial count and exposure	Interprets the constants in the displayed recurrence estimator.	Names observed age as future window and lifetime as the cap.	revision_sim.py:74-75,135-139	Clarify prior count1 applies to n_f-1 occurrences after first, not n_f+1.	The rate estimate uses an initial count of one and exposure of five arrivals.
paper/online_protocol.tex	108	Past-only recurrence forecast	Explains projection window	Names observed age as future window and lifetime as the cap.	Prevents treating the projection as a remaining-horizon confidence bound.	revision_sim.py:74-75,135-139	Supported heuristic construction.	The projection uses the family's observed age as a future window and caps expected uses by the assumed program lifetime.
paper/online_protocol.tex	109	Past-only recurrence forecast	Limits statistical interpretation	Prevents treating the projection as a remaining-horizon confidence bound.	Introduces the other rate estimate after recurrence forecasting.	revision_sim.py:74-75,135-139	Supported.	It is a heuristic forecast, rather than a confidence bound on remaining arrivals.
paper/online_protocol.tex	111-117	Admission estimate and supplied cost profile	Defines admission estimate and acquisition forecast	Introduces the other rate estimate after recurrence forecasting.	Interprets initial probability1/2 and dependence on observed outcomes.	revision_sim.py:76-80,140-141,161-167; run_paper_revision.py:84-147	Matches (g+1)/(a+2) and expected_buy.	After $a_f$ compilation attempts and $g_f$ successful verifications, the protocol uses \begin{equation} \hat{p}_f=\frac{g_f+1}{a_f+2}, \qquad \hat{B}_f=C_f+\left(\frac{1}{\hat{p}_f}-1\right)C_f^{\mathrm{fail}}. \label{eq:estimated-price} \end{equation}
paper/online_protocol.tex	118	Admission estimate and supplied cost profile	Explains smoothing updates	Interprets initial probability1/2 and dependence on observed outcomes.	Separates policy observations from supplied simulator generation probability.	revision_sim.py:76-80,140-141,161-167; run_paper_revision.py:84-147	Supported.	The add-one estimate starts at $1/2$ and changes only with observed compilation outcomes.
paper/online_protocol.tex	119	Admission estimate and supplied cost profile	States no true-p access	Separates policy observations from supplied simulator generation probability.	Completes the learned-versus-known distinction by retaining cost profiles.	revision_sim.py:76-80,140-141,161-167; run_paper_revision.py:84-147	Decision uses p_est; cfg[p] appears only in outcome generation.	It requires no access to the simulator's true verification probability.
paper/online_protocol.tex	120	Admission estimate and supplied cost profile	States what remains supplied	Completes the learned-versus-known distinction by retaining cost profiles.	Combines supplied profile with detected ordinary/drift failure branches.	revision_sim.py:76-80,140-141,161-167; run_paper_revision.py:84-147	Supported.	We retain the supplied cost profile while updating this probability.
paper/online_protocol.tex	122-126	Detected-failure saving and lifetime limit	Defines main-setting expected use saving	Combines supplied profile with detected ordinary/drift failure branches.	Separates immediate terminal fallback from fewer useful future uses.	revision_sim.py:79-80,138-139,153-155; silent=0 and fallback_mult=1	Exact only for silent=0 and fallback_mult=1, as stated.	For the main setting, in which failures are detected and each fallback costs $c_f$, the expected per-use saving including drift is \begin{equation} s_{h,f}=c_f-c_f^{\mathrm{prog}}-\big[h_f+(1-h_f)q_f\big]c_f. \label{eq:hazard-saving} \end{equation}
paper/online_protocol.tex	127	Detected-failure saving and lifetime limit	Explains two effects of drift	Separates immediate terminal fallback from fewer useful future uses.	Repeats the separation already explained in the preceding sentence.	revision_sim.py:79-80,138-139,153-155; silent=0 and fallback_mult=1	Supported; no duplicated charge.	The drift term charges the fallback on a breaking use, while the lifetime cap limits how many uses can recover the acquisition cost.
paper/online_protocol.tex	128	Detected-failure saving and lifetime limit	Restates different cost roles	Repeats the separation already explained in the preceding sentence.	Turns nonpositive expected saving into a no-compile prerequisite.	revision_sim.py:79-80,138-139,153-155; silent=0 and fallback_mult=1	Cuttable; algebraic bridge below is stronger justification.	These two terms account for different costs.
paper/online_protocol.tex	129	Detected-failure saving and lifetime limit	States sign condition	Turns nonpositive expected saving into a no-compile prerequisite.	Combines use forecast, acquisition forecast, and per-entry routing allowance.	revision_sim.py:79-80,138-139,153-155; silent=0 and fallback_mult=1	Matches projected rule.	When $s_{h,f}\leq0$, the rule does not compile.
paper/online_protocol.tex	131-136	Projected trigger and routing allowance	States benefit-cost trigger	Combines use forecast, acquisition forecast, and per-entry routing allowance.	Explains why acquisition price alone is not right-hand-side cost.	revision_sim.py:85,154-155	Exact strict > comparison.	For a family without a live program, the cost comparison is \begin{equation} \hat{H}_f s_{h,f}>\hat{B}_f+m\min(T,t_f), \label{eq:trigger} \end{equation} where $m$ is the per-arrival cost of one manifest entry and $T$ is the idle-residency limit.
paper/online_protocol.tex	137	Projected trigger and routing allowance	Interprets routing term	Explains why acquisition price alone is not right-hand-side cost.	Relates min(T,age) to unknown remaining stream length.	revision_sim.py:85,154-155	Supported.	The last term allows for the entry's routing cost during an estimated residence interval.
paper/online_protocol.tex	138	Projected trigger and routing allowance	Explains residence proxy	Relates min(T,age) to unknown remaining stream length.	Makes clear that local allowance does not replace actual manifest charges.	revision_sim.py:85,154-155	Unknown horizon motivates but does not uniquely derive proxy; surrounding heuristic wording is correct.	The estimate uses $\min(T,t_f)$ because the remaining stream length is unknown.
paper/online_protocol.tex	139	Projected trigger and routing allowance	Separates forecast from actual billing	Makes clear that local allowance does not replace actual manifest charges.	Links actual trigger's lifetime-limited case to replacement reference.	revision_sim.py:85,154-155	Actual router charge occurs on every arrival.	It is a local allowance, and the simulator charges the actual manifest cost on every arrival.
paper/online_protocol.tex	141	Bridge from lifetime-limited trigger to replacement	Gives restricted algebraic connection	Links actual trigger's lifetime-limited case to replacement reference.	States same mathematical form with estimated acquisition price.	s_h=s-h(1-q)c; H=1/h	Correct for h>0, H=1/h, no router; all stated.	For $h_f>0$, at the lifetime cap $\hat{H}_f=1/h_f$ and with no routing overhead, the comparison $\hat{H}_f s_{h,f}>\hat{B}_f$ is equivalent to $\hat{H}_f s_f>\hat{B}_f+(1-q_f)c_f$.
paper/online_protocol.tex	142	Bridge from lifetime-limited trigger to replacement	Interprets reference connection	States same mathematical form with estimated acquisition price.	Completes interpretation when forecast recurrence is smaller than lifetime.	s_h=s-h(1-q)c; H=1/h	Does not transfer any competitive guarantee.	This has the form of the replacement condition in Equation~\ref{eq:replacement}, with an estimated acquisition cost.
paper/online_protocol.tex	143	Bridge from lifetime-limited trigger to replacement	Explains recurrence-limited case	Completes interpretation when forecast recurrence is smaller than lifetime.	Names loss that expected-cost triggering alone may allow.	s_h=s-h(1-q)c; H=1/h	Supported.	When recurrence suggests fewer uses, the projection shortens the period over which compilation can pay back.
paper/online_protocol.tex	147	Cumulative failed spend and observable program savings	Introduces repeated-failure concern	Names loss that expected-cost triggering alone may allow.	Turns repeated-loss concern into cumulative state.	revision_sim.py:38-39,93-95,120-123,130-132,178	p_est may remain high enough for several costly failures.	A family can incur several failed attempts before the verification estimate becomes small.
paper/online_protocol.tex	148	Cumulative failed spend and observable program savings	Defines continuing loss and saving accounts	Turns repeated-loss concern into cumulative state.	Specifies supplied baseline minus charged observable serving cost.	revision_sim.py:38-39,93-95,120-123,130-132,178	F and S are not reset after admission or break.	We therefore keep its cumulative failed-compilation spend $F_f$ and its accounted program savings $S_f$.
paper/online_protocol.tex	149	Cumulative failed spend and observable program savings	Defines observable program-saving update	Specifies supplied baseline minus charged observable serving cost.	Completes S update by assigning zero to no-program service.	revision_sim.py:38-39,93-95,120-123,130-132,178	Observed cost excludes hidden harm in silent sensitivity.	On a program use, the latter adds the supplied agent cost minus the observed serving cost, including any detected fallback.
paper/online_protocol.tex	150	Cumulative failed spend and observable program savings	Defines agent-only contribution	Completes S update by assigning zero to no-program service.	Explains why supplied c makes S an accounting estimate.	revision_sim.py:38-39,93-95,120-123,130-132,178	Supported.	Agent-only service adds no program saving.
paper/online_protocol.tex	151	Cumulative failed spend and observable program savings	Limits counterfactual interpretation	Explains why supplied c makes S an accounting estimate.	Combines cumulative failed cost with accounted and projected savings.	revision_sim.py:38-39,93-95,120-123,130-132,178	Supported.	Because $c_f$ is supplied, $S_f$ is an accounting estimate rather than an observed counterfactual bill.
paper/online_protocol.tex	153-159	Reserve the next failed-attempt cost	States reserve inequality	Combines cumulative failed cost with accounted and projected savings.	Explains reserve for failure of the proposed next attempt.	revision_sim.py:142,155-158	Matches max(0,S)+max(0,uses*saving).	Before allowing an attempt, the rule requires \begin{equation} F_f+C_f^{\mathrm{fail}} \leq \max(0,S_f)+\max(0,\hat{H}_f s_{h,f}). \label{eq:failed-spend} \end{equation}
paper/online_protocol.tex	160	Reserve the next failed-attempt cost	Interprets left side	Explains reserve for failure of the proposed next attempt.	Explains allowance as savings already accounted plus forecast.	revision_sim.py:142,155-158	Not a cap on total successful-plus-failed spend.	The left side reserves the cost of the next attempt if it fails.
paper/online_protocol.tex	161	Reserve the next failed-attempt cost	Interprets right side	Explains allowance as savings already accounted plus forecast.	States why cap is not redundant with projected trigger.	revision_sim.py:142,155-158	Supported.	The right side combines accounted savings with the current forecast.
paper/online_protocol.tex	162	Reserve the next failed-attempt cost	Explains additional filtering	States why cap is not redundant with projected trigger.	Explains that changing forecast/accounts mean no fixed lifetime ceiling.	revision_sim.py:142,155-158	Supported.	This check can reject an attempt that passes the expected-cost comparison.
