file	lines	paragraph_main_point	sentence_role	connection_to_previous	connection_to_next	evidence	issue_or_action	sentence_or_table_unit
paper/online_experiments.tex	101	Qwen also changes with verification and does not favor the full rule uniformly	Connects Qwen to same question	Carries verification-dependence comparison to third model.	Provides all three scenario means rather than selecting favorable one.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates qwen/qwen3.8-flash/*	Supported by following three aggregates.	The Qwen results show a similar dependence on verification.
paper/online_experiments.tex	102	Qwen also changes with verification and does not favor the full rule uniformly	Reports Qwen full costs	Provides all three scenario means rather than selecting favorable one.	Adds success-count means in first two scenarios.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates qwen/qwen3.8-flash/*	1.053726395,0.964357919,0.874130886 match rounding.	The full rule's mean cost is $1.054$ of agent-only service under outcome replay, $0.964$ under probabilistic verification, and $0.874$ under uniform verification.
paper/online_experiments.tex	103	Qwen also changes with verification and does not favor the full rule uniformly	Identifies cheaper simple comparator	Adds success-count means in first two scenarios.	States what these unfavorable comparator results rule out.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates qwen/qwen3.8-flash/*	0.996720389 and0.919631881, both below full.	The success-count rule has lower means in the first two scenarios, at $0.997$ and $0.920$.
paper/online_experiments.tex	104	Qwen also changes with verification and does not favor the full rule uniformly	Limits superiority claim	States what these unfavorable comparator results rule out.	Moves from averages to all63 cells and reports both signs.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates qwen/qwen3.8-flash/*	Supported; projected full rule is not cheapest in every setting.	Cost estimates and recurrence forecasts do not make the projected rule the cheapest listed decision in each setting.
paper/online_experiments.tex	106	Across-cell comparisons include unfavorable outcomes and no competitive guarantee	Counts base-cell point comparisons	Moves from averages to all63 cells and reports both signs.	Quantifies the largest observed disadvantage and names its cell.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json headline.comparisons and cells[*].comparisons	21 lower,42 higher versus better fixed; these are mean point estimates, not significance counts.	Across the $63$ base cells, the full rule has a lower mean cost than the better fixed rule in $21$ cells and a higher mean cost in $42$.
paper/online_experiments.tex	107	Across-cell comparisons include unfavorable outcomes and no competitive guarantee	Reports worst ratio and interval	Quantifies the largest observed disadvantage and names its cell.	Uses a broader comparator set after the two-fixed comparison.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json headline.comparisons and cells[*].comparisons	1.6931126099; CI[1.6726565439,1.7137448725]; DeepSeek binary_replay/poisson/base.	Its largest ratio to the better fixed rule is $1.693$, with a $95$ percent interval of $[1.673,1.714]$, on uniform arrivals with DeepSeek outcome-replay profiles.
paper/online_experiments.tex	108	Across-cell comparisons include unfavorable outcomes and no competitive guarantee	Compares against all other rules	Uses a broader comparator set after the two-fixed comparison.	Reports uncertainty for the single lower point estimate.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json headline.comparisons and cells[*].comparisons	1 lower,3 tied,59 higher; tolerance1e-12 in summary.	Against the best of the other seven rules, its point estimate is lower in one cell, tied in three, and higher in fifty-nine.
paper/online_experiments.tex	109	Across-cell comparisons include unfavorable outcomes and no competitive guarantee	Qualifies only favorable comparison	Reports uncertainty for the single lower point estimate.	Limits empirical maxima to evaluated cells.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json headline.comparisons and cells[*].comparisons	DeepSeek uniform/poisson ratio0.9980233651, CI[0.9909461780,1.0289159692] includes1.	The one favorable point estimate has an interval containing parity.
paper/online_experiments.tex	110	Across-cell comparisons include unfavorable outcomes and no competitive guarantee	Prevents theoretical overclaim	Limits empirical maxima to evaluated cells.	Turns aggregate disadvantage into a concrete spending account.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json headline.comparisons and cells[*].comparisons	Correctly does not claim a competitive bound.	These are comparisons within the evaluated cells, and their maxima do not establish a competitive bound.
paper/online_experiments.tex	113	Worst-cell bill separates unsuccessful acquisition spend	Introduces worst-cell accounting example	Turns aggregate disadvantage into a concrete spending account.	Provides total cost before decomposing it.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/component_breakdown.json policy_summaries	Worst cell identified by all three comparator definitions in component_breakdown.	The worst base cell illustrates how uncertain compilation affects the cost account.
paper/online_experiments.tex	114	Worst-cell bill separates unsuccessful acquisition spend	Reports full and reactive bills	Provides total cost before decomposing it.	Separates unsuccessful acquisition from total bill.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/component_breakdown.json policy_summaries	80.273345810m and47.411699222m round80.27m and47.41m.	The full rule spends $80.27$ million weighted tokens, compared with $47.41$ million for agent-only service.
paper/online_experiments.tex	115	Worst-cell bill separates unsuccessful acquisition spend	Identifies failed-compilation component	Separates unsuccessful acquisition from total bill.	States exactly what that component buys: no accepted program.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/component_breakdown.json policy_summaries	32.883915454m rounds32.88m; successful compilation cost is a separate component.	Failed compilation accounts for $32.88$ million tokens.
paper/online_experiments.tex	116	Worst-cell bill separates unsuccessful acquisition spend	Interprets decomposition	States exactly what that component buys: no accepted program.	Moves from observed failed bills to a mathematical consequence of supplied prices.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/component_breakdown.json policy_summaries	Descriptive accounting, not a counterfactual ablation or a claim that subtracting it gives a valid rerun.	This decomposition identifies the expense paid without obtaining a program.
paper/online_experiments.tex	118	Imputed failed prices can algebraically prevent initial attempts	Introduces foregone initial attempts	Moves from observed failed bills to a mathematical consequence of supplied prices.	Supplies the algebra needed for the threshold explanation.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/component_breakdown.json threshold_dependencies and interpretation; source cell profiles	Supported by three profile threshold inequalities, not a newly executed experiment.	The supplied failure prices can also prevent an initial attempt on a family that produced a program in the measurement.
paper/online_experiments.tex	119	Imputed failed prices can algebraically prevent initial attempts	States initial estimate	Supplies the algebra needed for the threshold explanation.	Compares maximum projected savings with initial price.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/component_breakdown.json threshold_dependencies and interpretation; source cell profiles	Before attempts a=g=0, p_hat=1/2, so B_hat=C+C_fail.	Before any attempt, $\hat{p}=1/2$, so the estimated price is $C+C^{\mathrm{fail}}$.
paper/online_experiments.tex	120	Imputed failed prices can algebraically prevent initial attempts	Gives Markor inequality	Compares maximum projected savings with initial price.	Shows Markor is not the only excluded measured-success profile.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/component_breakdown.json threshold_dependencies and interpretation; source cell profiles	489676.110606 versus2571123.763636; rounding490k and2571k correct.	For DeepSeek Markor, the default lifetime cap allows at most $490$k tokens of projected saving, while the initial estimated price is $2571$k.
paper/online_experiments.tex	121	Imputed failed prices can algebraically prevent initial attempts	Gives Writer and web inequalities	Shows Markor is not the only excluded measured-success profile.	Applies lifetime ceiling to the strict trigger for all possible arrival orders.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/component_breakdown.json threshold_dependencies and interpretation; source cell profiles	2453601.089141 vs3088351.236364;1928990.557071 vs2835003.5; rounded entries correct.	DeepSeek Writer and the web family have the same inequality, with maximum projected savings of $2454$k and $1929$k against initial prices of $3088$k and $2835$k.
paper/online_experiments.tex	122	Imputed failed prices can algebraically prevent initial attempts	Draws no-first-attempt implication	Applies lifetime ceiling to the strict trigger for all possible arrival orders.	Closes the induction: no attempt means p_hat remains at its initial value.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/component_breakdown.json threshold_dependencies and interpretation; source cell profiles	Valid under fixed supplied profiles, default h=.02, and current forecast; router allowance is nonnegative and cannot reverse exclusion.	The projected rule therefore never makes its first attempt on these three profiles under the default hazard, regardless of arrival order.
paper/online_experiments.tex	123	Imputed failed prices can algebraically prevent initial attempts	Explains unchanged learning state	Closes the induction: no attempt means p_hat remains at its initial value.	Attributes result to declared imputation and initial estimate.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/component_breakdown.json threshold_dependencies and interpretation; source cell profiles	Only own attempt outcomes update p_hat, so exclusion persists.	With no attempt, their verification estimates also remain unchanged.
paper/online_experiments.tex	124	Imputed failed prices can algebraically prevent initial attempts	States source of exclusion	Attributes result to declared imputation and initial estimate.	Separates the computed exclusion from whether it is appropriate in actual deployment.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/component_breakdown.json threshold_dependencies and interpretation; source cell profiles	Accurate algebraic dependency; does not claim an empirical within-family failed price.	This follows from the declared failure-price substitutions and the initial verification estimate.
paper/online_experiments.tex	125	Imputed failed prices can algebraically prevent initial attempts	Limits real-program inference	Separates the computed exclusion from whether it is appropriate in actual deployment.	Introduces with/without variants as cap ablation.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/component_breakdown.json threshold_dependencies and interpretation; source cell profiles	Supported limitation; missing failed-cost measurements cannot justify the realism of exclusion.	Because the study lacks within-family measurements of those missing failure prices, it cannot establish that these exclusions are appropriate for the real programs.
paper/online_experiments.tex	130	Cap can reduce expensive retries in the eager baseline	Defines paired mechanism comparison	Introduces with/without variants as cap ablation.	Announces large reductions without making a general claim.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json cells: DeepSeek binary_replay/wiki_A/base; Qwen binary_replay/bpi2019/base	Decision code differs by failed-spend check within each pair; completed study contains both.	The paired variants isolate the effect of reserving the next failed-attempt cost.
paper/online_experiments.tex	131	Cap can reduce expensive retries in the eager baseline	States conditional positive cap effect	Announces large reductions without making a general claim.	Quantifies eager-cap effect in identified worst retry-heavy stream.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json cells: DeepSeek binary_replay/wiki_A/base; Qwen binary_replay/bpi2019/base	Supported by two following selected examples and all-base comparison.	Adding the check to earliest compilation substantially reduces cost in some failure-heavy settings.
paper/online_experiments.tex	132	Cap can reduce expensive retries in the eager baseline	Reports DeepSeek reduction	Quantifies eager-cap effect in identified worst retry-heavy stream.	Adds second model's maximum observed reduction.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json cells: DeepSeek binary_replay/wiki_A/base; Qwen binary_replay/bpi2019/base	0.1367082067 rounds0.137; wiki_A metadata is tool hot+tail stream.	For DeepSeek outcome replay on the tool-edit Wikipedia stream, earliest compilation with the check costs $0.137$ of the same rule without it.
paper/online_experiments.tex	133	Cap can reduce expensive retries in the eager baseline	Reports Qwen best reduction	Adds second model's maximum observed reduction.	Connects reduced bills to the action cap's stated purpose.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json cells: DeepSeek binary_replay/wiki_A/base; Qwen binary_replay/bpi2019/base	0.1726414632 rounds0.173; selected cell is binary_replay/bpi2019, not same Wiki stream.	The corresponding best reduction for Qwen is a ratio of $0.173$.
paper/online_experiments.tex	134	Cap can reduce expensive retries in the eager baseline	Interprets retry-control behavior	Connects reduced bills to the action cap's stated purpose.	Avoids generalizing eager-policy improvement to proposed trigger.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json cells: DeepSeek binary_replay/wiki_A/base; Qwen binary_replay/bpi2019/base	DeepSeek mean attempts28032.55 to325.45; Qwen67086.35 to3358.15; failed bills also fall sharply.	These comparisons show that the check can limit expensive retries by an otherwise eager rule.
paper/online_experiments.tex	136	Cap has mixed effects after the projected comparison	Introduces different effect after projection	Avoids generalizing eager-policy improvement to proposed trigger.	Quantifies the mixed overall effect using equal-weight21-cell averages.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json base-cell mean_token_cost projected_cap/projected, averaged across 21 cells per model	Supported by full/projected ratios around1 with both signs.	The effect is smaller and less consistent when the projected-savings comparison is already in place.
paper/online_experiments.tex	137	Cap has mixed effects after the projected comparison	Reports mean cap ratios by model	Quantifies the mixed overall effect using equal-weight21-cell averages.	Shows mean above1 includes both improvement and harm.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json base-cell mean_token_cost projected_cap/projected, averaged across 21 cells per model	1.0000051436,1.0074574367,1.0015811265 round1.000,1.007,1.002.	Across the twenty-one base cells per model, the mean full-to-projected cost ratio is about $1.000$ for GLM, $1.007$ for DeepSeek, and $1.002$ for Qwen.
paper/online_experiments.tex	138	Cap has mixed effects after the projected comparison	Reports DeepSeek range	Shows mean above1 includes both improvement and harm.	Interprets range as lower or higher total cost under tested settings.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json base-cell mean_token_cost projected_cap/projected, averaged across 21 cells per model	0.9772289616 to1.1044807788 rounds0.977-1.104.	DeepSeek's individual ratios range from $0.977$ to $1.104$.
paper/online_experiments.tex	139	Cap has mixed effects after the projected comparison	States mixed directional effect	Interprets range as lower or higher total cost under tested settings.	States the negative lesson of mixed cap behavior.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json base-cell mean_token_cost projected_cap/projected, averaged across 21 cells per model	Supported; avoids universal benefit claim.	For this trigger, rejecting additional attempts can either lower or raise total cost under the tested settings.
paper/online_experiments.tex	140	Cap has mixed effects after the projected comparison	Limits general-improvement claim	States the negative lesson of mixed cap behavior.	Opens sensitivity section with the table's lifetime, price, and detection factors.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json base-cell mean_token_cost projected_cap/projected, averaged across 21 cells per model	Supported and appropriately explicit.	The results do not support treating it as a general improvement to the projected trigger.
paper/online_experiments.tex	145	Short program lifetime can eliminate economic benefit	Introduces sensitivity dimensions	Opens sensitivity section with the table's lifetime, price, and detection factors.	Quantifies useful-lifetime sensitivity on BPI2019.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json soft/bpi2019 cells with base,no_drift,high_drift tags	Supported; table is a subset of109 predeclared cells.	Table~\ref{tab:realstreams} varies program lifetime, compilation price, and failure detection under probabilistic verification.
paper/online_experiments.tex	146	Short program lifetime can eliminate economic benefit	Reports no-drift changes	Quantifies useful-lifetime sensitivity on BPI2019.	Completes opposite direction within the same two profiles and stream.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json soft/bpi2019 cells with base,no_drift,high_drift tags	DeepSeek0.894666881 to0.205152233; Qwen0.721652131 to0.197926543.	On BPI 2019, removing drift changes the full rule's cost ratio from $0.895$ to $0.205$ for DeepSeek and from $0.722$ to $0.198$ for Qwen.
paper/online_experiments.tex	147	Short program lifetime can eliminate economic benefit	Reports high-drift alternatives	Completes opposite direction within the same two profiles and stream.	Connects crossing above1 to the limit on amortizing acquisition.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json soft/bpi2019 cells with base,no_drift,high_drift tags	DeepSeek1.009107682; Qwen1.004346468.	Raising the hazard to $0.1$ instead gives ratios of $1.009$ and $1.004$.
paper/online_experiments.tex	148	Short program lifetime can eliminate economic benefit	Interprets lifetime effect	Connects crossing above1 to the limit on amortizing acquisition.	Introduces higher successful and failed costs at fixed other scenario inputs.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json soft/bpi2019 cells with base,no_drift,high_drift tags	Correct local model interpretation; not a claim that every hazard increase monotonically raises total cost.	These settings show how a short useful lifetime can remove the benefit of a low per-use program cost.
paper/online_experiments.tex	150	Increasing both compilation prices can remove savings	Reports GLM cost-scale changes	Introduces higher successful and failed costs at fixed other scenario inputs.	Shows the same cost scale can make remaining attempts unprofitable.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json soft/{bursty,bpi2019}/{base,price5x}	Bursty0.286723659 to0.814924509; BPI0.177532103 to0.416092028.	A fivefold increase in both compilation prices raises the GLM cost ratio from $0.287$ to $0.815$ on bursty arrivals and from $0.178$ to $0.416$ on BPI 2019.
paper/online_experiments.tex	151	Increasing both compilation prices can remove savings	Reports remaining model outcomes	Shows the same cost scale can make remaining attempts unprofitable.	Connects higher acquisition price to fewer passing opportunities and above-reactive bills.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json soft/{bursty,bpi2019}/{base,price5x}	DeepSeek1.197558821/1.018663144; Qwen1.075260318/1.007075982.	The corresponding DeepSeek ratios are $1.198$ and $1.019$, and the Qwen ratios are $1.075$ and $1.007$.
paper/online_experiments.tex	152	Increasing both compilation prices can remove savings	Interprets stricter comparison and residual losses	Connects higher acquisition price to fewer passing opportunities and above-reactive bills.	Distinguishes measured-success price from missing failed price.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json soft/{bursty,bpi2019}/{base,price5x}	Precision suggestion: raises the threshold for an attempt is exact at fixed history; reduces set of families can overstate dynamic set inclusion. Mean attempts decrease in all six reported cells.	Increasing the estimated acquisition price reduces the set of families that pass the comparison, but the attempts that remain can still cost more than continued agent service.
paper/online_experiments.tex	154	Failure-price assumptions and residency affect measured ratios	Separates failure-only sensitivity	Distinguishes measured-success price from missing failed price.	Quantifies0.5C to5C under two stream shapes.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json GLM additional_cf cells; soft ttl25,ttl400,no_router cells	Only GLM cf_multiplier varies; C fixed.	The separate GLM failure-price test holds successful compilation cost fixed.
paper/online_experiments.tex	155	Failure-price assumptions and residency affect measured ratios	Reports failure-price sensitivity	Quantifies0.5C to5C under two stream shapes.	Explains what the predeclared price variation establishes.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json GLM additional_cf cells; soft ttl25,ttl400,no_router cells	0.255240841 to0.525714767;0.170068211 to0.251729179; roundings correct.	Changing the unobserved failed-attempt price from $0.5C$ to $5C$ changes the cost ratio from $0.255$ to $0.526$ on bursty arrivals and from $0.170$ to $0.252$ on BPI 2019.
paper/online_experiments.tex	156	Failure-price assumptions and residency affect measured ratios	States assumption sensitivity	Explains what the predeclared price variation establishes.	Places smaller infrastructure changes beside larger price/hazard changes.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json GLM additional_cf cells; soft ttl25,ttl400,no_router cells	Correct model sensitivity, not new failed-cost measurement.	This variation makes the effect of the unmeasured price assumption visible.
paper/online_experiments.tex	157	Failure-price assumptions and residency affect measured ratios	Compares with residency/router variation	Places smaller infrastructure changes beside larger price/hazard changes.	Supports prior qualitative comparison with BPI ratios.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json GLM additional_cf cells; soft ttl25,ttl400,no_router cells	All named streams/models show smaller tested residency/router variations; scoped to these streams.	The residency and routing changes have smaller effects in these tested streams.
paper/online_experiments.tex	158	Failure-price assumptions and residency affect measured ratios	Gives concrete residency example	Supports prior qualitative comparison with BPI ratios.	Separates silent failure from token-only sensitivities.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json GLM additional_cf cells; soft ttl25,ttl400,no_router cells	GLM0.173243069/0.188562511; DeepSeek0.893737723/0.897109513; Qwen0.718577535/0.728642632.	For example, changing the idle limit from $25$ to $400$ gives BPI 2019 ratios of $0.173$ to $0.189$ for GLM, $0.894$ to $0.897$ for DeepSeek, and $0.719$ to $0.729$ for Qwen.
paper/online_experiments.tex	160	Silent failures change success and require separate token and penalty accounts	Introduces quality and cost consequences	Separates silent failure from token-only sensitivities.	Gives exact quality comparison before discussing reactive baseline.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json soft/bpi2019/{base,silent30}.summary.projected_cap	Supported by negative success deltas and separate penalty.	Silent failures change the quality account as well as the token account.
paper/online_experiments.tex	161	Silent failures change success and require separate token and penalty accounts	Reports success loss versus detected base	Gives exact quality comparison before discussing reactive baseline.	Does not let above-reactive means hide loss of guaranteed paired fallback.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json soft/bpi2019/{base,silent30}.summary.projected_cap	Corrected after early review: exact decreases1.6643957511,0.3234962301,0.4160542477pp round1.66,0.32,0.42.	At a silent-failure fraction of $0.3$, the full rule's BPI 2019 success rate falls by $1.66$, $0.32$, and $0.42$ percentage points relative to its detected-failure base setting for GLM, DeepSeek, and Qwen.
paper/online_experiments.tex	162	Silent failures change success and require separate token and penalty accounts	Distinguishes observed advantage from structural protection	Does not let above-reactive means hide loss of guaranteed paired fallback.	States monetary/token account separately from quality.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json soft/bpi2019/{base,silent30}.summary.projected_cap	BPI success-rate deltas vs reactive remain positive0.0676923,0.0146186,0.00139135; silent failures break base pathwise property.	Its success rate remains above the agent-only comparator in these cells, but the base setting's structural protection no longer applies.
paper/online_experiments.tex	163	Silent failures change success and require separate token and penalty accounts	Reports pure token ratios	States monetary/token account separately from quality.	Adds assumed loss scale after keeping pure bill separate.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json soft/bpi2019/{base,silent30}.summary.projected_cap	0.175414180,0.897957369,0.718982394 round0.175,0.898,0.719.	The corresponding token ratios are $0.175$, $0.898$, and $0.719$.
paper/online_experiments.tex	164	Silent failures change success and require separate token and penalty accounts	Reports penalized objective	Adds assumed loss scale after keeping pure bill separate.	Links lower missing fallback bills to possible lower service quality.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json soft/bpi2019/{base,silent30}.summary.projected_cap	0.203420268,0.910041923,0.732313833; correctly called different loss measure.	Adding the declared auxiliary penalty gives ratios of $0.203$, $0.910$, and $0.732$, which describe a different loss measure.
paper/online_experiments.tex	165	Silent failures change success and require separate token and penalty accounts	Explains joint reporting	Links lower missing fallback bills to possible lower service quality.	Closes the reviewed passage; later source changes require a narrow follow-up.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json soft/bpi2019/{base,silent30}.summary.projected_cap	Correct interpretation; does not claim equivalent success at lower token spend.	Reporting both prevents an undetected failure's missing fallback bill from being mistaken for equivalent service at lower cost.
paper/online_results_tables.tex	4	Table1 scope	States aggregate represented	Introduces seven-stream model/scenario averages.	Makes agent-only value1 explicit although omitted as a column.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json	Supported.	\caption{Mean token-cost ratios across seven arrival streams.
paper/online_results_tables.tex	5	Table1 scope	Defines baseline	Makes agent-only value1 explicit although omitted as a column.	Specifies equal weighting of seven normalized cells.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json	Supported.	Each ratio uses agent-only service as the baseline, whose value is $1$.
paper/online_results_tables.tex	6	Table1 scope	Defines aggregation	Specifies equal weighting of seven normalized cells.	Introduces abbreviated column labels after metric definition.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json	Matches aggregates implementation.	We average the seven cell ratios with equal weight within a model and verification scenario.
paper/online_results_tables.tex	7	Table1 policy definitions	Defines Early and check	Introduces abbreviated column labels after metric definition.	Explains the two count-rule column names.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json	Supported.	Early attempts compilation as soon as it is eligible, and check denotes the failed-spend condition.
paper/online_results_tables.tex	8	Table1 policy definitions	Defines Count and Success thresholds	Explains the two count-rule column names.	Distinguishes trigger and cap variants used in columns.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json	Precision: ten family arrivals; successful-run count resets at admission/detected break as defined in main text.	Count and Success wait for ten arrivals and ten successful agent runs, respectively.
paper/online_results_tables.tex	9	Table1 policy definitions	Defines Excess, Projected, Full	Distinguishes trigger and cap variants used in columns.	Makes count/excess check use explicit.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json	Supported.	Excess uses the accumulated-excess trigger, Projected omits the failed-spend check, and Full includes it.
